Unnamed: 0,region_1,region_2
13634,Coteaux Varois,
13635,Côtes de Provence,
13636,Margaret River,
13637,Friuli Isonzo,
13638,Colli Orientali del Friuli,
13639,Colli Orientali del Friuli,
13640,Columbia Valley (WA),Columbia Valley
13641,Russian River Valley,Sonoma
13642,North Fork of Long Island,Long Island
13643,Napa Valley,Napa
13644,El Dorado,Sierra Foothills
13645,Dominio de Valdepusa,
13646,Red Mountain,Columbia Valley
13647,,
13648,Columbia Valley (WA),Columbia Valley
13649,,
13650,,
13651,North Fork of Long Island,Long Island
13652,Russian River Valley,Sonoma
13653,Rosso di Montepulciano,
13654,Ribera del Duero,
13655,Finger Lakes,Finger Lakes
13656,California,California Other
13657,Sonoma Valley,Sonoma
13658,Campo de Borja,
13659,,
13660,Niagara Peninsula,
13661,Chianti Classico,
13662,Columbia Valley (WA),Columbia Valley
13663,,
13664,,
13665,Horse Heaven Hills,Columbia Valley
13666,Bolgheri,
13667,Sonoma County,Sonoma
13668,Somontano,
13669,Yecla,
13670,California,California Other
13671,Lake Chelan,Columbia Valley
13672,Marche,
13673,Finger Lakes,Finger Lakes
13674,Yakima Valley,Columbia Valley
13675,Finger Lakes,Finger Lakes
13676,Columbia Valley (WA),Columbia Valley
13677,Shenandoah Valley (CA),Sierra Foothills
13678,New York,New York Other
13679,Campo de Borja,
13680,Soave Classico,
13681,Prosecco,
13682,,
13683,,
13684,Dry Creek Valley,Sonoma
13685,Napa Valley,Napa
13686,Monterey,Central Coast
13687,Conegliano Valdobbiadene Prosecco Superiore,
13688,Carneros,Napa-Sonoma
13689,Willamette Valley,Willamette Valley
13690,Conegliano Valdobbiadene Prosecco Superiore,
13691,La Rioja,
13692,,
13693,Uco Valley,
13694,,
13695,California,California Other
13696,Mendoza,
13697,Monterey County,Central Coast
13698,St. Helena,Napa
13699,Côtes de Provence,
13700,Soave Classico,
13701,Côtes de Provence,
13702,Vin de Pays Var,
13703,Soave Classico,
13704,Mendoza,
13705,,
13706,Soave Classico,
13707,,
13708,Mendoza,
13709,Mendoza,
13710,Fronton,
13711,Jurançon,
13712,Amador County,Sierra Foothills
13713,,
13714,Luján de Cuyo,
13715,Alto Adige,
13716,Santa Maria Valley,Central Coast
13717,Paso Robles,Central Coast
13718,Mendoza,
13719,Friuli Isonzo,
13720,Collio,
13721,,
13722,Mendoza,
13723,Uco Valley,
13724,Uco Valley,
13725,Dry Creek Valley,Sonoma
13726,,
13727,Napa Valley,Napa
13728,Verdicchio dei Castelli di Jesi Classico,
13729,,
13730,,
13731,Carneros,Napa-Sonoma
13732,Sonoma Mountain,Sonoma
13733,,
13734,Willamette Valley,Willamette Valley
13735,Mendoza,
13736,Oregon,Oregon Other
13737,,
13738,,
13739,Cahors,
13740,,
13741,Alsace,
13742,,
13743,Alsace,
13744,Napa Valley,Napa
13745,Russian River Valley,Sonoma
13746,Valpolicella Classico Superiore,
13747,Finger Lakes,Finger Lakes
13748,Alsace,
13749,Valpolicella Superiore,
13750,Crémant d'Alsace,
13751,,
13752,,
13753,Sonoma County,Sonoma
13754,Amarone della Valpolicella Classico,
13755,Santa Ynez Valley,Central Coast
13756,Sierra Foothills,Sierra Foothills
13757,San Francisco Bay-Livermore Valley,Central Coast
13758,,
13759,Valpolicella Superiore Ripasso,
13760,Valpolicella Classico Superiore Ripasso,
13761,Amarone della Valpolicella Classico,
13762,,
13763,Umpqua Valley,Southern Oregon
13764,Alsace,
13765,Amarone della Valpolicella Classico,
13766,Napa Valley,Napa
13767,Napa Valley,Napa
13768,,
13769,,
13770,Bolgheri Superiore,
13771,Barossa Valley,
13772,Amador County,Sierra Foothills
13773,Willamette Valley,Willamette Valley
13774,Lalande de Pomerol,
13775,Chianti,
13776,Lodi,Central Valley
13777,Chianti Rufina,
13778,Chianti Rufina,
13779,Vino Nobile di Montepulciano,
13780,Chianti,
13781,Alsace,
13782,Alsace,
13783,Alsace,
13784,Brunello di Montalcino,
13785,Bierzo,
13786,Bolgheri,
13787,Central Valley,
13788,Brunello di Montalcino,
13789,Toscana,
13790,Carmignano,
13791,Eola-Amity Hills,Willamette Valley
13792,Toscana,
13793,Toscana,
13794,Vino Nobile di Montepulciano,
13795,California,California Other
13796,Brunello di Montalcino,
13797,Willamette Valley,Willamette Valley
13798,Monticello,
13799,Russian River Valley,Sonoma
13800,Yorkville Highlands,North Coast
13801,Lodi,Central Valley
13802,Puglia,
13803,California,California Other
13804,Sicilia,
13805,Sicilia,
13806,Sicilia,
13807,Willamette Valley,Willamette Valley
13808,Russian River Valley,Sonoma
13809,Carneros,Napa-Sonoma
13810,Beaujolais,
13811,Russian River Valley,Sonoma
13812,Salento,
13813,Morgon,
13814,Sonoma Valley,Sonoma
13815,Oregon,Oregon Other
13816,,
13817,Beaujolais-Villages,
13818,Sicilia,
13819,Sicilia,
13820,California,California Other
13821,Beaujolais,
13822,Beaujolais-Villages,
13823,Sicilia,
13824,Clarksburg,Central Valley
13825,Dry Creek Valley,Sonoma
13826,Bordeaux Blanc,
13827,Paso Robles,Central Coast
13828,Oak Knoll District,Napa
13829,,
13830,Russian River Valley,Sonoma
13831,Rosso di Montalcino,
13832,,
13833,Alexander Valley,Sonoma
13834,Beaujolais,
13835,Cafayate,
13836,Columbia Valley (WA),Columbia Valley
13837,Ribera del Duero,
13838,Sonoma-Napa-Lake,North Coast
13839,Langhorne Creek,
13840,Neuquén,
13841,Washington,Washington Other
13842,Carneros,Napa-Sonoma
13843,Napa-Carneros,Napa
13844,Carneros,Napa-Sonoma
13845,Rattlesnake Hills,Columbia Valley
13846,,
13847,Central Coast,Central Coast
13848,Adelaide,
13849,Napa Valley,Napa
13850,Alicante,
13851,Central Coast,Central Coast
13852,Vino de la Tierra de Castilla,
13853,Saint-Amour,
13854,Oak Knoll District,Napa
13855,Santa Cruz Mountains,Central Coast
13856,Napa-Sonoma,North Coast
13857,Russian River Valley,Sonoma
13858,Rueda,
13859,Montsant,
13860,Napa Valley,Napa
13861,Côtes de Provence,
13862,,
13863,Russian River Valley,Sonoma
13864,Carneros,Napa-Sonoma
13865,Vino Nobile di Montepulciano,
13866,Chablis,
13867,Gevrey-Chambertin,
13868,Livermore Valley,Central Coast
13869,,
13870,Russian River Valley,Sonoma
13871,Walla Walla Valley (WA),Columbia Valley
13872,Columbia Valley (WA),Columbia Valley
13873,Sta. Rita Hills,Central Coast
13874,Finger Lakes,Finger Lakes
13875,Côtes de Provence,
13876,Côtes de Provence Sainte-Victoire,
13877,Côtes de Provence,
13878,Coteaux d'Aix-en-Provence,
13879,Okanagan Valley,
13880,,
13881,Russian River Valley,Sonoma
13882,Columbia Valley (WA),Columbia Valley
13883,Finger Lakes,Finger Lakes
13884,,
13885,Horse Heaven Hills,Columbia Valley
13886,Russian River Valley,Sonoma
13887,Columbia Valley (WA),Columbia Valley
13888,Columbia Valley (WA),Columbia Valley
13889,Paso Robles,Central Coast
13890,Chablis,
13891,Napa Valley,Napa
13892,Columbia Valley (WA),Columbia Valley
13893,Russian River Valley,Sonoma
13894,Clarksburg,Central Valley
13895,Amarone della Valpolicella Classico,
13896,Chablis,
13897,Priorat,
13898,Ribera del Duero,
13899,Chassagne-Montrachet,
13900,Amarone della Valpolicella Classico,
13901,Horse Heaven Hills,Columbia Valley
13902,Mendocino,Mendocino/Lake Counties
13903,Columbia Valley (WA),Columbia Valley
13904,Shenandoah Valley (CA),Sierra Foothills
13905,,
13906,Finger Lakes,Finger Lakes
13907,Columbia Valley (WA),Columbia Valley
13908,Napa,
13909,Volnay,
13910,Auxey-Duresses,
13911,Finger Lakes,Finger Lakes
13912,Chablis,
13913,Saint-Romain,
13914,Amarone della Valpolicella Classico,
13915,Santa Ynez Valley,Central Coast
13916,Chambolle-Musigny,
13917,Morey-Saint-Denis,
13918,Chablis,
13919,Finger Lakes,Finger Lakes
13920,Brunello di Montalcino,
13921,Willamette Valley,Willamette Valley
13922,Mount Veeder,Napa
13923,Brunello di Montalcino,
13924,Central Coast,Central Coast
13925,Santa Lucia Highlands,Central Coast
13926,,
13927,Willamette Valley,Willamette Valley
13928,Edna Valley,Central Coast
13929,Vino Nobile di Montepulciano,
13930,Chianti Classico,
13931,Rosso di Montepulciano,
13932,Willamette Valley,Willamette Valley
13933,Willamette Valley,Willamette Valley
13934,Ribeira Sacra,
13935,Shenandoah Valley (CA),Sierra Foothills
13936,Victoria,
13937,Virginia,
13938,Sonoma County,Sonoma
13939,McLaren Vale,
13940,Haut-Médoc,
13941,Médoc,
13942,Haut-Médoc,
13943,Saint-Émilion,
13944,Saint-Émilion,
13945,Saint-Émilion,
13946,Brunello di Montalcino,
13947,Applegate Valley,Southern Oregon
13948,Sonoma County,Sonoma
13949,Pomerol,
13950,California,California Other
13951,California,California Other
13952,Terre di Chieti,
13953,,
13954,Washington,Washington Other
13955,Sonoma Coast,Sonoma
13956,Paso Robles,Central Coast
13957,Santa Barbara County,Central Coast
13958,Rueda,
13959,Finger Lakes,Finger Lakes
13960,Valdepeñas,
13961,,
13962,,
13963,Chianti,
13964,,
13965,Pennsylvania,
13966,Vino de la Tierra de Castilla y León,
13967,Priorat,
13968,,
13969,California,California Other
13970,,
13971,Vinos de Madrid,
13972,Alicante,
13973,Finger Lakes,Finger Lakes
13974,California,California Other
13975,California,California Other
13976,Santa Lucia Highlands,Central Coast
13977,Central Coast,Central Coast
13978,,
13979,Washington,Washington Other
13980,,
13981,Côtes de Provence,
13982,Walla Walla Valley (WA),Columbia Valley
13983,Yakima Valley,Columbia Valley
13984,Vino de la Tierra de Castilla y León,
13985,,
13986,Navarra,
13987,Barossa Valley,
13988,Côtes de Provence,
13989,Santa Barbara County,Central Coast
13990,Paso Robles,Central Coast
13991,Isola dei Nuraghi,
13992,,
13993,Alicante,
13994,Rioja,
13995,Rioja,
13996,Anderson Valley,Mendocino/Lake Counties
13997,,
13998,Sta. Rita Hills,Central Coast
13999,Friuli Isonzo,
14000,Collio,
14001,Napa Valley,Napa
14002,Colli Orientali del Friuli,
14003,Columbia Valley (WA),Columbia Valley
14004,Santa Lucia Highlands,Central Coast
14005,Yarra Valley,
14006,Walla Walla Valley (WA),Columbia Valley
14007,Alexander Valley,Sonoma
14008,Cigales,
14009,Paso Robles,Central Coast
14010,Conegliano Valdobbiadene Prosecco Superiore,
14011,Châteauneuf-du-Pape,
14012,Conegliano Valdobbiadene Prosecco Superiore,
14013,Prosecco,
14014,,
14015,North Coast,North Coast
14016,Vin de Pays de la Méditerranée,
14017,Mendoza,
14018,Sonoma Valley,Sonoma
14019,California,California Other
14020,Conegliano Valdobbiadene Prosecco Superiore,
14021,Mendoza,
14022,Calaveras County,Sierra Foothills
14023,Côtes du Rhône,
14024,,
14025,,
14026,Sonoma Valley,Sonoma
14027,Conegliano Valdobbiadene Prosecco Superiore,
14028,,
14029,Côtes de Provence,
14030,,
14031,Soave,
14032,,
14033,Soave Classico,
14034,California,California Other
14035,Mendoza,
14036,Lake County,Mendocino/Lake Counties
14037,Vin de Pays du Gard,
14038,,
14039,Vin de Pays des Collines Rhodaniennes,
14040,,
14041,Champagne,
14042,McMinnville,Willamette Valley
14043,Alsace,
14044,Valpolicella Classico Superiore Ripasso,
14045,Oak Knoll District,Napa
14046,,
14047,Finger Lakes,Finger Lakes
14048,Valpolicella Superiore Ripasso,
14049,Valpolicella Ripasso,
14050,Anderson Valley,Mendocino/Lake Counties
14051,Valpolicella Classico Superiore Ripasso,
14052,,
14053,Sonoma County,Sonoma
14054,California,California Other
14055,Napa Valley,Napa
14056,Champagne,
14057,,
14058,Alsace,
14059,Alsace,
14060,Santa Barbara County,Central Coast
14061,,
14062,Valpolicella Classico Superiore Ripasso,
14063,,
14064,Paso Robles,Central Coast
14065,Alexander Valley,Sonoma
14066,Napa Valley,Napa
14067,Virginia,
14068,Russian River Valley,Sonoma
14069,Valpolicella Ripasso Valpantena,
14070,Cahors,
14071,Oregon,Oregon Other
14072,San Rafael,
14073,Edna Valley,Central Coast
14074,Mendoza,
14075,Côtes de Provence,
14076,Cahors,
14077,Napa Valley,Napa
14078,Cahors,
14079,Sonoma County,Sonoma
14080,Uco Valley,
14081,,
14082,Napa Valley,Napa
14083,,
14084,,
14085,San Rafael,
14086,Napa Valley,Napa
14087,Mendoza,
14088,Edna Valley,Central Coast
14089,Colline Pescaresi,
14090,Yamhill-Carlton District,Willamette Valley
14091,Cole Ranch,Mendocino/Lake Counties
14092,Torgiano,
14093,Friuli Isonzo,
14094,,
14095,Agrelo,
14096,Livermore Valley,Central Coast
14097,Santa Lucia Highlands,Central Coast
14098,Russian River Valley,Sonoma
14099,Mendoza,
14100,Monticello,
14101,Sicilia,
14102,Salento,
14103,,
14104,Virginia,
14105,Virginia,
14106,Sicilia,
14107,Puglia,
14108,Shenandoah Valley,
14109,Sicilia,
14110,Lake County,Mendocino/Lake Counties
14111,Willamette Valley,Willamette Valley
14112,California,California Other
14113,North Coast,North Coast
14114,Puglia,
14115,California,California Other
14116,Monterey,Central Coast
14117,San Benito County,Central Coast
14118,,
14119,,
14120,Russian River Valley,Sonoma
14121,Dundee Hills,Willamette Valley
14122,Sicilia,
14123,Sonoma Valley,Sonoma
14124,Dundee Hills,Willamette Valley
14125,Dundee Hills,Willamette Valley
14126,Médoc,
14127,,
14128,,
14129,Beaujolais,
14130,Rías Baixas,
14131,Chianti Superiore,
14132,Brunello di Montalcino,
14133,Vino Nobile di Montepulciano,
14134,Napa Valley,Napa
14135,Monterey,Central Coast
14136,Langhorne Creek,
14137,Vino Nobile di Montepulciano,
14138,Vino Nobile di Montepulciano,
14139,Chianti Classico,
14140,Brunello di Montalcino,
14141,Central Coast,Central Coast
14142,Santa Lucia Highlands,Central Coast
14143,,
14144,Willamette Valley,Willamette Valley
14145,Rosso di Montepulciano,
14146,Willamette Valley,Willamette Valley
14147,Willamette Valley,Willamette Valley
14148,Edna Valley,Central Coast
14149,Ribeira Sacra,
14150,Shenandoah Valley (CA),Sierra Foothills
14151,Chianti Classico,
14152,Sonoma County,Sonoma
14153,Victoria,
14154,Virginia,
14155,McLaren Vale,
14156,Montsant,
14157,Haut-Médoc,
14158,Castillon Côtes de Bordeaux,
14159,Haut-Médoc,
14160,,
14161,,
14162,Rosso di Montalcino,
14163,Columbia Valley (WA),Columbia Valley
14164,Rioja,
14165,Rosso di Montalcino,
14166,Rioja,
14167,Chinon,
14168,Mendoza,
14169,Crémant de Loire,
14170,Yorkville Highlands,North Coast
14171,Cariñena,
14172,Jumilla,
14173,Rosso di Montalcino,
14174,,
14175,Ribera del Duero,
14176,California,California Other
14177,Paso Robles,Central Coast
14178,Columbia Valley (WA),Columbia Valley
14179,Santa Lucia Highlands,Central Coast
14180,Arroyo Grande Valley,Central Coast
14181,Rosso di Montalcino,
14182,Santa Cruz Mountains,Central Coast
14183,,
14184,Priorat,
14185,Columbia Valley (WA),Columbia Valley
14186,Rutherford,Napa
14187,Napa Valley,Napa
14188,Rioja,
14189,Rioja,
14190,,
14191,Russian River Valley,Sonoma
14192,Red Mountain,Columbia Valley
14193,Bandol,
14194,,
14195,,
14196,Chianti Classico,
14197,Vino Nobile di Montepulciano,
14198,Agrelo,
14199,,
14200,Chablis,
14201,Vino Nobile di Montepulciano,
14202,Walla Walla Valley (WA),Columbia Valley
14203,Vino Nobile di Montepulciano,
14204,Chianti Classico,
14205,Toscana,
14206,Vin Santo del Chianti Classico,
14207,Russian River Valley,Sonoma
14208,Coombsville,Napa
14209,Temecula Valley,South Coast
14210,Russian River Valley,Sonoma
14211,Finger Lakes,Finger Lakes
14212,Finger Lakes,Finger Lakes
14213,,
14214,Russian River Valley,Sonoma
14215,,
14216,Russian River Valley,Sonoma
14217,Santa Barbara County,Central Coast
14218,Russian River Valley,Sonoma
14219,Vernaccia di San Gimignano,
14220,,
14221,Finger Lakes,Finger Lakes
14222,Red Mountain,Columbia Valley
14223,Rioja,
14224,Amarone della Valpolicella Classico,
14225,Gevrey-Chambertin,
14226,Savigny-lès-Beaune,
14227,Mercurey,
14228,Mâcon-Fuissé,
14229,Luján de Cuyo,
14230,Salta,
14231,Santa Cruz Mountains,Central Coast
14232,Finger Lakes,Finger Lakes
14233,Valpolicella Classico Superiore Ripasso,
14234,Mendocino,Mendocino/Lake Counties
14235,St. Helena,Napa
14236,Horse Heaven Hills,Columbia Valley
14237,Valpolicella Classico Superiore Ripasso,
14238,Rattlesnake Hills,Columbia Valley
14239,Nuits-St.-Georges,
14240,Valpolicella Classico Superiore Ripasso,
14241,Finger Lakes,Finger Lakes
14242,Santenay,
14243,Mercurey,
14244,Gevrey-Chambertin,
14245,Chorey-lès-Beaune,
14246,Veneto,
14247,,
14248,Paso Robles,Central Coast
14249,Edna Valley,Central Coast
14250,Walla Walla Valley (WA),Columbia Valley
14251,,
14252,Paso Robles,Central Coast
14253,Horse Heaven Hills,Columbia Valley
14254,Alto Adige,
14255,Sta. Rita Hills,Central Coast
14256,,
14257,Alto Adige,
14258,Priorat,
14259,Sicilia,
14260,Côtes de Provence,
14261,St. Helena,Napa
14262,Sonoma Coast,Sonoma
14263,Columbia Valley (WA),Columbia Valley
14264,Côtes de Provence,
14265,Crozes-Hermitage,
14266,Columbia Valley (WA),Columbia Valley
14267,Côtes du Rhône,
14268,Côtes de Provence,
14269,Alto Adige,
14270,Walla Walla Valley (WA),Columbia Valley
14271,,
14272,,
14273,Ribera del Duero,
14274,Columbia Valley (WA),Columbia Valley
14275,Carneros,Napa-Sonoma
14276,,
14277,Russian River Valley,Sonoma
14278,Alto Adige,
14279,Alto Adige,
14280,Yakima Valley,Columbia Valley
14281,Rioja,
14282,Santa Lucia Highlands,Central Coast
14283,,
14284,California,California Other
14285,Finger Lakes,Finger Lakes
14286,New York,New York Other
14287,Yakima Valley,Columbia Valley
14288,California,California Other
14289,Vinos de Madrid,
14290,California,California Other
14291,,
14292,Jumilla,
14293,,
14294,Toro,
14295,Vino de la Tierra de Castilla,
14296,Vino de la Tierra de Castilla,
14297,Margaux,
14298,Saint-Émilion,
14299,Bordeaux Blanc,
14300,Pauillac,
14301,Saint-Estèphe,
14302,Saint-Estèphe,
14303,Margaux,
14304,Saint-Julien,
14305,Pauillac,
14306,Pauillac,
14307,Saint-Émilion,
14308,Margaux,
14309,Pessac-Léognan,
14310,Mendoza,
14311,Central Coast,Central Coast
14312,,
14313,Santa Barbara County,Central Coast
14314,Soave Classico,
14315,Napa Valley,Napa
14316,Mendoza,
14317,Sonoma County,Sonoma
14318,,
14319,Soave,
14320,Santa Ynez Valley,Central Coast
14321,Uco Valley,
14322,Prosecco,
14323,,
14324,California,California Other
14325,Central Coast,Central Coast
14326,Côtes du Rhône,
14327,California,California Other
14328,Côtes de Provence,
14329,Central Coast,Central Coast
14330,Veneto,
14331,Mendoza,
14332,California,California Other
14333,,
14334,Soave Classico,
14335,Soave Classico,
14336,Mendoza,
14337,Côtes de Provence,
14338,Veneto,
14339,Veneto,
14340,Moulin-à-Vent,
14341,Russian River Valley,Sonoma
14342,Central Coast,Central Coast
14343,Napa Valley,Napa
14344,Virginia,
14345,Beaujolais Rosé,
14346,Beaujolais,
14347,Santa Cruz Mountains,Central Coast
14348,Napa Valley,Napa
14349,California,California Other
14350,Russian River Valley,Sonoma
14351,Sonoma Mountain,Sonoma
14352,Beaujolais,
14353,Monterey County,Central Coast
14354,California,California Other
14355,Sicilia,
14356,Monica di Sardegna,
14357,Cahors,
14358,Puglia,
14359,Ribbon Ridge,Willamette Valley
14360,Sicilia,
14361,,
14362,Paso Robles,Central Coast
14363,,
14364,Bordeaux Blanc,
14365,Médoc,
14366,Gers,
14367,,
14368,Sonoma County,Sonoma
14369,Lodi,Central Valley
14370,Somontano,
14371,Walla Walla Valley (WA),Columbia Valley
14372,Russian River Valley,Sonoma
14373,Langhorne Creek,
14374,Russian River Valley,Sonoma
14375,Columbia Valley (WA),Columbia Valley
14376,Washington,Washington Other
14377,Juliénas,
14378,,
14379,Columbia Valley (WA),Columbia Valley
14380,Riverina,
14381,Carneros,Napa-Sonoma
14382,Napa Valley,Napa
14383,La Consulta,
14384,Santa Cruz Mountains,Central Coast
14385,Paso Robles,Central Coast
14386,Calatayud,
14387,Napa Valley,Napa
14388,California,California Other
14389,Napa Valley,Napa
14390,Cariñena,
14391,Napa Valley,Napa
14392,Rutherford,Napa
14393,Tupungato,
14394,Crémant de Loire,
14395,Valdepeñas,
14396,South Eastern Australia,
14397,Russian River Valley,Sonoma
14398,,
14399,California,California Other
14400,Finger Lakes,Finger Lakes
14401,Finger Lakes,Finger Lakes
14402,Bourgogne,
14403,Chorey-lès-Beaune,
14404,Chablis,
14405,Chablis,
14406,Salta,
14407,Columbia Valley (WA),Columbia Valley
14408,Valpolicella Classico Superiore Ripasso,
14409,Meursault,
14410,Finger Lakes,Finger Lakes
14411,Chablis,
14412,Amarone della Valpolicella Classico,
14413,Valpolicella Classico Superiore Ripasso,
14414,,
14415,Pouilly-Fuissé,
14416,Pommard,
14417,Côte de Beaune-Villages,
14418,California,California Other
14419,Amarone della Valpolicella,
14420,Rueda,
14421,Valpolicella Superiore,
14422,Mendoza,
14423,Valpolicella Classico Superiore,
14424,Amarone della Valpolicella,
14425,Russian River Valley,Sonoma
14426,Mendocino,Mendocino/Lake Counties
14427,Toro,
14428,Amarone della Valpolicella Classico,
14429,Rosso del Veronese,
14430,Montagne-Saint-Émilion,
14431,Montagne-Saint-Émilion,
14432,Columbia Valley (WA),Columbia Valley
14433,Moulis-en-Médoc,
14434,Chianti Classico,
14435,,
14436,Brunello di Montalcino,
14437,,
14438,Napa Valley,Napa
14439,Bordeaux,
14440,Médoc,
14441,Columbia Valley (WA),Columbia Valley
14442,Vino Nobile di Montepulciano,
14443,Brunello di Montalcino,
14444,Australia,
14445,,
14446,Napa Valley,Napa
14447,,
14448,,
14449,Columbia Valley (WA),Columbia Valley
14450,Columbia Valley (WA),Columbia Valley
14451,,
14452,Brunello di Montalcino,
14453,,
14454,Chianti Classico,
14455,,
14456,,
14457,,
14458,,
14459,Napa Valley,Napa
14460,Carmel Valley,Central Coast
14461,Margaret River,
14462,Moscato d'Asti,
14463,Temecula Valley,South Coast
14464,Maremma,
14465,Bendigo,
14466,California,California Other
14467,Mendoza,
14468,Howell Mountain,Napa
14469,Rioja,
14470,California,California Other
14471,Vin de Pays d'Oc,
14472,Hunter Valley,
14473,Alexander Valley,Sonoma
14474,Bolgheri,
14475,Wahluke Slope,Columbia Valley
14476,Los Carneros,Napa-Sonoma
14477,Cava,
14478,Napa Valley,Napa
14479,,
14480,Bolgheri,
14481,Fleurie,
14482,Crémant de Limoux,
14483,Yorkville Highlands,North Coast
14484,Morgon,
14485,Beaujolais-Villages,
14486,Fleurie,
14487,Columbia Valley (WA),Columbia Valley
14488,Ribera del Duero,
14489,Chianti Classico,
14490,Sonoma County,Sonoma
14491,Bierzo,
14492,,
14493,,
14494,Napa Valley,Napa
14495,Napa Valley,Napa
14496,Walla Walla Valley (WA),Columbia Valley
14497,Columbia Valley (WA),Columbia Valley
14498,,
14499,Rioja,
14500,,
14501,Côtes de Provence,
14502,Vigneti delle Dolomiti,
14503,El Dorado,Sierra Foothills
14504,Alto Adige,
14505,Isola dei Nuraghi,
14506,,
14507,Côtes du Rhône,
14508,Sonoma County,Sonoma
14509,Cava,
14510,Crozes-Hermitage,
14511,Côtes de Provence,
14512,Côtes de Provence Sainte-Victoire,
14513,Malvasia delle Lipari,
14514,Colli Orientali del Friuli,
14515,Côtes du Rhône Villages,
14516,Paicines,Central Coast
14517,Contessa Entellina,
14518,Santa Cruz Mountains,Central Coast
14519,Collio,
14520,Dry Creek Valley,Sonoma
14521,Sonoma Valley,Sonoma
14522,,
14523,,
14524,Sonoma Coast,Sonoma
14525,Oakville,Napa
14526,Santa Barbara County,Central Coast
14527,Napa Valley,Napa
14528,Mendoza,
14529,Paso Robles,Central Coast
14530,,
14531,Côtes de Provence,
14532,California,California Other
14533,Monterey,Central Coast
14534,Russian River Valley,Sonoma
14535,Côtes de Provence,
14536,,
14537,,
14538,Conegliano Valdobbiadene Prosecco Superiore,
14539,Soave,
14540,Monterey,Central Coast
14541,Santa Ynez Valley,Central Coast
14542,Soave Classico,
14543,,
14544,Famatina Valley,
14545,Mendoza,
14546,Napa Valley,Napa
14547,Mendoza,
14548,Mendoza,
14549,Alexander Valley,Sonoma
14550,Fronsac,
14551,Saint-Émilion,
14552,Saint-Émilion,
14553,Pauillac,
14554,Médoc,
14555,Pessac-Léognan,
14556,Côtes de Provence,
14557,Saint-Estèphe,
14558,Pessac-Léognan,
14559,Haut-Médoc,
14560,Saint-Émilion,
14561,Saint-Julien,
14562,Côtes de Provence,
14563,Côtes de Provence,
14564,Coteaux d'Aix-en-Provence,
14565,Côtes de Provence,
14566,Médoc,
14567,Médoc,
14568,Médoc,
14569,Médoc,
14570,,
14571,Anderson Valley,Mendocino/Lake Counties
14572,,
14573,Atlas Peak,Napa
14574,Anderson Valley,Mendocino/Lake Counties
14575,Howell Mountain,Napa
14576,Anderson Valley,Mendocino/Lake Counties
14577,,
14578,Maury,
14579,Howell Mountain,Napa
14580,Paso Robles,Central Coast
14581,,
14582,Russian River Valley,Sonoma
14583,Lodi,Central Valley
14584,Sicilia,
14585,Sicilia,
14586,Virginia,
14587,Willamette Valley,Willamette Valley
14588,Napa Valley,Napa
14589,Salento,
14590,Sicilia,
14591,Virginia,
14592,Médoc,
14593,,
14594,Lodi,Central Valley
14595,Sicilia,
14596,Dundee Hills,Willamette Valley
14597,Faro,
14598,,
14599,Médoc,
14600,Sicilia,
14601,Sicilia,
14602,,
14603,Alexander Valley,Sonoma
14604,San Luis Obispo County,Central Coast
14605,Bordeaux,
14606,Sicilia,
14607,Carneros,Napa-Sonoma
14608,Beaujolais,
14609,Willamette Valley,Willamette Valley
14610,Napa Valley,Napa
14611,Cafayate,
14612,Santa Cruz Mountains,Central Coast
14613,Santa Clara Valley,Central Coast
14614,Yakima Valley,Columbia Valley
14615,Eden Valley,
14616,Columbia Valley (WA),Columbia Valley
14617,Mendoza,
14618,Mendoza,
14619,Yecla,
14620,Napa Valley,Napa
14621,Ribera del Duero,
14622,South Eastern Australia,
14623,Victoria,
14624,California,California Other
14625,Mendoza,
14626,,
14627,Sonoma Valley,Sonoma
14628,Vino de la Tierra de Castilla,
14629,Ribeiro,
14630,,
14631,Russian River Valley,Sonoma
14632,Menetou-Salon,
14633,Vino de la Tierra de Castilla,
14634,Rosso di Montalcino,
14635,Napa Valley,Napa
14636,,
14637,,
14638,,
14639,Saint-Amour,
14640,Russian River Valley,Sonoma
14641,Adelaide,
14642,Napa Valley,Napa
14643,Willamette Valley,Willamette Valley
14644,Willamette Valley,Willamette Valley
14645,,
14646,,
14647,,
14648,Vin Santo di Carmignano,
14649,Umbria,
14650,Colli Orientali del Friuli,
14651,,
14652,Rioja,
14653,,
14654,Coonawarra,
14655,Willamette Valley,Willamette Valley
14656,Napa Valley,Napa
14657,Umbria,
14658,Jumilla,
14659,,
14660,,
14661,Columbia Gorge (OR),Oregon Other
14662,Rioja,
14663,Cava,
14664,Alexander Valley,Sonoma
14665,Napa Valley,Napa
14666,Sonoma Coast,Sonoma
14667,Russian River Valley,Sonoma
14668,Colli Orientali del Friuli,
14669,Russian River Valley,Sonoma
14670,Columbia Valley (WA),Columbia Valley
14671,,
14672,Mendoza,
14673,,
14674,,
14675,,
14676,,
14677,Nuits-St.-Georges,
14678,Prosecco di Conegliano e Valdobbiadene,
14679,Russian River Valley,Sonoma
14680,Prosecco del Veneto,
14681,Carneros,Napa-Sonoma
14682,Prosecco di Conegliano,
14683,Prosecco Superiore di Cartizze,
14684,Prosecco di Valdobbiadene,
14685,California,California Other
14686,Monterey,Central Coast
14687,Anderson Valley,Mendocino/Lake Counties
