region_1_US,region_2
Arroyo Grande Valley,Central Coast
Rosso di Montalcino,
Santa Cruz Mountains,Central Coast
Priorat,
Columbia Valley (WA),Columbia Valley
Napa Valley,Napa
Rioja,
Rioja,
Wachau,
Russian River Valley,Sonoma
Red Mountain,Columbia Valley
Bandol,
Burgenland,
Chianti Classico,
Agrelo,
Marlborough,
Chablis,
Vino Nobile di Montepulciano,
Walla Walla Valley (WA),Columbia Valley
Vino Nobile di Montepulciano,
Chianti Classico,
Toscana,
Vin Santo del Chianti Classico,
Russian River Valley,Sonoma
Coombsville,Napa
Burgenland,
Russian River Valley,Sonoma
Niederösterreich,
Santa Barbara County,Central Coast
Russian River Valley,Sonoma
Vernaccia di San Gimignano,
Red Mountain,Columbia Valley
Rioja,
Amarone della Valpolicella Classico,
Savigny-lès-Beaune,
Mercurey,
Luján de Cuyo,
Salta,
Santa Cruz Mountains,Central Coast
Finger Lakes,Finger Lakes
Valpolicella Classico Superiore Ripasso,
Mendocino,Mendocino/Lake Counties
St. Helena,Napa
Horse Heaven Hills,Columbia Valley
Valpolicella Classico Superiore Ripasso,
Valpolicella Classico Superiore Ripasso,
Finger Lakes,Finger Lakes
Santenay,
Gevrey-Chambertin,
Veneto,
Stellenbosch,
Paso Robles,Central Coast
Edna Valley,Central Coast
Kremstal,
Paso Robles,Central Coast
Horse Heaven Hills,Columbia Valley
Alto Adige,
Kamptal,
Alto Adige,
Priorat,
Sicilia,
Côtes de Provence,
St. Helena,Napa
Sonoma Coast,Sonoma
Columbia Valley (WA),Columbia Valley
Crozes-Hermitage,
Côtes du Rhône,
Côtes de Provence,
Alto Adige,
Walla Walla Valley (WA),Columbia Valley
Kremstal,
Ribera del Duero,
Russian River Valley,Sonoma
Alto Adige,
Alto Adige,
Yakima Valley,Columbia Valley
Rioja,
Santa Lucia Highlands,Central Coast
Vinos de Madrid,
Upper Galilee,
Jumilla,
Alentejano,
Toro,
Vino de la Tierra de Castilla,
Vino de la Tierra de Castilla,
Margaux,
Saint-Émilion,
Bordeaux Blanc,
Pauillac,
Saint-Estèphe,
Saint-Estèphe,
Margaux,
Saint-Julien,
Pauillac,
Pauillac,
Saint-Émilion,
Margaux,
Pessac-Léognan,
Central Coast,Central Coast
Alentejano,
Santa Barbara County,Central Coast
Soave Classico,
Napa Valley,Napa
Mendoza,
Soave,
Santa Ynez Valley,Central Coast
Uco Valley,
Prosecco,
Bairrada,
California,California Other
Central Coast,Central Coast
Côtes du Rhône,
Côtes de Provence,
Central Coast,Central Coast
Veneto,
Stellenbosch,
Soave Classico,
Soave Classico,
Mendoza,
Côtes de Provence,
Veneto,
Veneto,
Moulin-à-Vent,
Russian River Valley,Sonoma
Central Coast,Central Coast
Virginia,
Beaujolais Rosé,
Beaujolais,
Santa Cruz Mountains,Central Coast
Napa Valley,Napa
Beaujolais,
California,California Other
Sicilia,
Monica di Sardegna,
Cahors,
Ribbon Ridge,Willamette Valley
Sicilia,
Paso Robles,Central Coast
Bordeaux Blanc,
Maule Valley,
Lodi,Central Valley
Somontano,
Walla Walla Valley (WA),Columbia Valley
Langhorne Creek,
Russian River Valley,Sonoma
Columbia Valley (WA),Columbia Valley
Juliénas,
Dão,
Columbia Valley (WA),Columbia Valley
Riverina,
Napa Valley,Napa
La Consulta,
Paso Robles,Central Coast
Calatayud,
Cariñena,
Napa Valley,Napa
Tupungato,
Crémant de Loire,
Valdepeñas,
South Eastern Australia,
Russian River Valley,Sonoma
Ribatejo,
California,California Other
Finger Lakes,Finger Lakes
Bourgogne,
Chablis,
Columbia Valley (WA),Columbia Valley
Valpolicella Classico Superiore Ripasso,
Meursault,
Finger Lakes,Finger Lakes
Chablis,
Valpolicella Classico Superiore Ripasso,
Western Cape,
Rueda,
Valpolicella Superiore,
Mendoza,
Amarone della Valpolicella,
Russian River Valley,Sonoma
Mendocino,Mendocino/Lake Counties
Rosso del Veronese,
Chianti Classico,
Bordeaux,
Médoc,
Stellenbosch,
Pfalz,
Columbia Valley (WA),Columbia Valley
Columbia Valley (WA),Columbia Valley
Chianti Classico,
Pfalz,
Pfalz,
Robertson,
Napa Valley,Napa
Carmel Valley,Central Coast
Moscato d'Asti,
Temecula Valley,South Coast
Maremma,
Bendigo,
Mendoza,
Rioja,
Vin de Pays d'Oc,
Alexander Valley,Sonoma
Bolgheri,
Wahluke Slope,Columbia Valley
Los Carneros,Napa-Sonoma
Cava,
Bolgheri,
Fleurie,
Crémant de Limoux,
Yorkville Highlands,North Coast
Morgon,
Beaujolais-Villages,
Columbia Valley (WA),Columbia Valley
Ribera del Duero,
Sonoma County,Sonoma
Kamptal,
Kremstal,
Napa Valley,Napa
Walla Walla Valley (WA),Columbia Valley
Niederösterreich,
Rioja,
Vigneti delle Dolomiti,
El Dorado,Sierra Foothills
Alto Adige,
Isola dei Nuraghi,
Elgin,
Côtes du Rhône,
Cava,
Crozes-Hermitage,
Colli Orientali del Friuli,
Côtes du Rhône Villages,
Contessa Entellina,
Santa Cruz Mountains,Central Coast
Collio,
Dry Creek Valley,Sonoma
Sonoma Valley,Sonoma
Polkadraai Hills,
Sonoma Coast,Sonoma
Oakville,Napa
Santa Barbara County,Central Coast
Napa Valley,Napa
Simonsberg-Paarl,
Monterey,Central Coast
Russian River Valley,Sonoma
Côtes de Provence,
Alentejano,
Alentejano,
Conegliano Valdobbiadene Prosecco Superiore,
Santa Ynez Valley,Central Coast
Soave Classico,
Paarl,
Mendoza,
Mendoza,
Mendoza,
Fronsac,
Saint-Émilion,
Saint-Émilion,
Pauillac,
Médoc,
Pessac-Léognan,
Côtes de Provence,
Saint-Estèphe,
Pessac-Léognan,
Haut-Médoc,
Saint-Émilion,
Saint-Julien,
Côtes de Provence,
Côtes de Provence,
Côtes de Provence,
Médoc,
Franken,
Anderson Valley,Mendocino/Lake Counties
Pfalz,
Anderson Valley,Mendocino/Lake Counties
Howell Mountain,Napa
Anderson Valley,Mendocino/Lake Counties
Mosel-Saar-Ruwer,
Maury,
Howell Mountain,Napa
Central Valley,
Lodi,Central Valley
Sicilia,
Sicilia,
Virginia,
Willamette Valley,Willamette Valley
Napa Valley,Napa
Salento,
Sicilia,
Virginia,
Österreichischer Sekt,
Sicilia,
Dundee Hills,Willamette Valley
Colchagua Valley,
Sicilia,
Sicilia,
Maipo Valley,
Alexander Valley,Sonoma
San Luis Obispo County,Central Coast
Sicilia,
Beaujolais,
Willamette Valley,Willamette Valley
Cafayate,
Santa Cruz Mountains,Central Coast
Eden Valley,
Columbia Valley (WA),Columbia Valley
Mendoza,
Mendoza,
Yecla,
Ribera del Duero,
South Eastern Australia,
Victoria,
California,California Other
Mendoza,
Douro,
Sonoma Valley,Sonoma
Vino de la Tierra de Castilla,
Ribeiro,
Alentejano,
Russian River Valley,Sonoma
Menetou-Salon,
Vino de la Tierra de Castilla,
Napa Valley,Napa
Alentejano,
Douro,
Crete,
Saint-Amour,
Adelaide,
Napa Valley,Napa
Willamette Valley,Willamette Valley
Willamette Valley,Willamette Valley
Port,
Port,
Port,
Vin Santo di Carmignano,
Umbria,
Mosel-Saar-Ruwer,
Rioja,
Port,
Willamette Valley,Willamette Valley
Umbria,
Jumilla,
Port,
Port,
Columbia Gorge (OR),Oregon Other
Rioja,
Cava,
Alexander Valley,Sonoma
Napa Valley,Napa
Sonoma Coast,Sonoma
Russian River Valley,Sonoma
Colli Orientali del Friuli,
Russian River Valley,Sonoma
Mendoza,
Rheinhessen,
Thermenregion,
Burgenland,
Burgenland,
Nuits-St.-Georges,
Prosecco di Conegliano e Valdobbiadene,
Russian River Valley,Sonoma
Prosecco del Veneto,
Carneros,Napa-Sonoma
Prosecco di Conegliano,
Prosecco di Valdobbiadene,
California,California Other
Anderson Valley,Mendocino/Lake Counties
Weinviertel,
Anderson Valley,Mendocino/Lake Counties
Columbia Valley (WA),Columbia Valley
Anderson Valley,Mendocino/Lake Counties
Südoststeiermark,
Corinth,
Sonoma Valley,Sonoma
Prosecco di Conegliano e Valdobbiadene,
Prosecco di Valdobbiadene,
Anderson Valley,Mendocino/Lake Counties
Mendoza,
Valpolicella Classico Superiore Ripasso,
Finger Lakes,Finger Lakes
Valpolicella Classico Superiore Ripasso,
Valpolicella Classico Superiore Ripasso,
Valpolicella Superiore Ripasso,
Rosso del Veronese,
Pouilly-Fuissé,
Lodi,Central Valley
Rioja,
Chablis,
Chablis,
Bourgogne,
Edna Valley,Central Coast
Veneto,
Seneca Lake,Finger Lakes
Amarone della Valpolicella Classico,
Amarone della Valpolicella Classico,
Anderson Valley,Mendocino/Lake Counties
New Mexico,
Western Cape,
Coteaux du Languedoc,
Chianti Classico,
Rioja,
Maremma,
Lake County,Mendocino/Lake Counties
Central Coast,Central Coast
Alexander Valley,Sonoma
Waipara,
Sta. Rita Hills,Central Coast
Beaujolais-Villages,
Santa Lucia Highlands,Central Coast
Russian River Valley,Sonoma
Rioja,
Hawke's Bay,
Argentina,
Coteaux du Languedoc,
Marlborough,
Morgon,
Toro,
Côtes du Rhône,
Columbia Valley (WA),Columbia Valley
Kremstal,
Priorat,
Côtes du Rhône,
Cava,
Columbia Valley (WA),Columbia Valley
Russian River Valley,Sonoma
Paso Robles,Central Coast
Sta. Rita Hills,Central Coast
Columbia Valley (WA),Columbia Valley
California,California Other
Columbia Valley (WA),Columbia Valley
Coteaux d'Aix-en-Provence,
Red Mountain,Columbia Valley
Kremstal,
Côtes de Provence,
Sonoma Valley,Sonoma
Santa Cruz Mountains,Central Coast
Côtes de Provence,
Carignano del Sulcis,
Howell Mountain,Napa
Rivesaltes,
Willamette Valley,Willamette Valley
Sonoma Coast,Sonoma
Sonoma Coast,Sonoma
Pfalz,
Sta. Rita Hills,Central Coast
Napa Valley,Napa
Russian River Valley,Sonoma
Sonoma Coast,Sonoma
Corbières-Boutenac,
Willamette Valley,Willamette Valley
Napa Valley,Napa
Burgenland,
Mendoza,
Cahors,
Russian River Valley,Sonoma
Corbières-Boutenac,
Russian River Valley,Sonoma
Sonoma Coast,Sonoma
Los Carneros,Napa-Sonoma
Willamette Valley,Willamette Valley
Napa Valley,Napa
Burgenland,
Niederösterreich,
Napa Valley,Napa
Mendocino County,Mendocino/Lake Counties
Carneros,Napa-Sonoma
Russian River Valley,Sonoma
Santa Maria Valley,Central Coast
Carneros,Napa-Sonoma
Barolo,
Champagne,
Oakville,Napa
Wagram-Donauland,
Yakima Valley,Columbia Valley
Champagne,
Marlborough,
Sonoma County,Sonoma
South Australia,
Barbaresco,
Washington,Washington Other
Sonoma County,Sonoma
Columbia Valley (WA),Columbia Valley
Wagram-Donauland,
Santa Lucia Highlands,Central Coast
Anderson Valley,Mendocino/Lake Counties
Kremstal,
Napa Valley,Napa
Kamptal,
Perdriel,
Puglia,
Russian River Valley,Sonoma
Lodi,Central Valley
Eden Valley,
Luján de Cuyo,
Chalk Hill,Sonoma
Jumilla,
Green Valley,Sonoma
Priorat,
Falerno del Massico,
Red Mountain,Columbia Valley
McLaren Vale,
Niederösterreich,
Horse Heaven Hills,Columbia Valley
Frankland River,
Salento,
Lenswood,
Campania,
Niederösterreich,
Rockpile,Sonoma
Ribera del Duero,
Mornington Peninsula,
Napa Valley,Napa
Muscadet Sèvre et Maine,
Russian River Valley,Sonoma
Eden Valley,
Ribera del Duero,
La Mancha,
Douro,
Wahluke Slope,Columbia Valley
Dry Creek Valley,Sonoma
Cafayate,
Columbia Valley (WA),Columbia Valley
Mendoza,
Chelan County,Washington Other
Victoria,
Port,
Saumur,
Rosso di Montalcino,
Chinon,
Sonoma Coast,Sonoma
Navarra,
Finger Lakes,Finger Lakes
Valpolicella Classico Superiore,
Finger Lakes,Finger Lakes
Valpolicella Superiore,
Yakima Valley,Columbia Valley
Alexander Valley,Sonoma
Napa Valley,Napa
Columbia Valley (WA),Columbia Valley
Finger Lakes,Finger Lakes
Savigny-lès-Beaune,
Valencia,
Valpolicella Superiore Ripasso,
Columbia Valley (WA),Columbia Valley
Rioja,
Beaune,
Saint-Aubin,
Chablis,
Meursault,
Toro,
Margaret River,
Cannonau di Sardegna,
Malgas,
Columbia Valley (WA),Columbia Valley
Alto Adige,
Alto Adige,
Kamptal,
Stellenbosch,
Western Cape,
Walla Walla Valley (WA),Columbia Valley
Coteaux d'Aix-en-Provence,
Côtes du Rhône Villages,
Côtes du Rhône,
Côtes de Provence,
Rasteau,
Sonoma Coast,Sonoma
Niederösterreich,
Thermenregion,
Montsant,
Willamette Valley,Willamette Valley
Thermenregion,
Eola-Amity Hills,Willamette Valley
Contessa Entellina,
Mosel,
Kremstal,
Sonoma Coast,Sonoma
Cahors,
Cahors,
Kremstal,
Napa Valley,Napa
Russian River Valley,Sonoma
Mosel-Saar-Ruwer,
Knights Valley,Sonoma
Sonoma Coast,Sonoma
Sta. Rita Hills,Central Coast
Sta. Rita Hills,Central Coast
Mendoza,
Banyuls,
Napa Valley,Napa
Paarl,
Rheingau,
Mosel,
Sonoma Coast,Sonoma
Anderson Valley,Mendocino/Lake Counties
Cahors,
Cahors,
Mosel-Saar-Ruwer,
McLaren Vale,
Champagne,
Horse Heaven Hills,Columbia Valley
Napa Valley,Napa
Napa,
Wagram-Donauland,
Sonoma Coast,Sonoma
Walla Walla Valley (WA),Columbia Valley
Burgenland,
McLaren Vale,
Dolcetto d'Alba,
Champagne,
Sta. Rita Hills,Central Coast
Wagram-Donauland,
Napa Valley,Napa
Barossa Valley,
Paso Robles,Central Coast
Marlborough,
Kremstal,
Washington,Washington Other
Burgenland,
Champagne,
Marlborough,
Kamptal,
Barbera d'Alba,
Russian River Valley,Sonoma
Priorat,
Russian River Valley,Sonoma
Napa Valley,Napa
Santa Lucia Highlands,Central Coast
Sannio,
Vista Flores,
Priorat,
Taurasi,
Niederösterreich,
Mendoza,
Niederösterreich,
Roccamonfina,
Montsant,
Hunter Valley,
Vista Flores,
Mendoza,
Lodi,Central Valley
Côtes du Rhône Villages,
Taurasi,
Priorat,
Margaret River,
Wachau,
Mosel-Saar-Ruwer,
Western Australia,
Mosel-Saar-Ruwer,
Rheinhessen,
Styria,
Wachau,
Donauland,
Mosel-Saar-Ruwer,
Sonoma Coast,Sonoma
Kamptal,
Alsace,
South Australia,
McLaren Vale,
Rheingau,
Santa Ynez Valley,Central Coast
Mosel-Saar-Ruwer,
Adelaide Hills,
Sonoma County,Sonoma
Champagne,
Champagne,
Russian River Valley,Sonoma
California,California Other
Australia,
South Australia,
Champagne,
Marlborough,
Sonoma County,Sonoma
Rutherford,Napa
Santa Ynez Valley,Central Coast
Carneros,Napa-Sonoma
Western Australia,
Rapsani,
Opuntia Locris,
Nemea,
Samos,
Vin de Pays de Macédoine,
Greece,
Peloponnese,
Santorini,
Drama,
Halkidiki,
Monterey,Central Coast
Attica,
Cephalonia,
Vin de Pays de Macédoine,
Santorini,
Mount Athos,
Corinth,
St. Helena,Napa
Paso Robles,Central Coast
Douro,
Brunello di Montalcino,
Montepulciano d'Abruzzo,
Napa Valley,Napa
Rutherford,Napa
Rutherford,Napa
Stags Leap District,Napa
Port,
St. Helena,Napa
Chianti,
Beiras,
Toscana,
Napa Valley,Napa
Napa Valley,Napa
Napa Valley,Napa
Alexander Valley,Sonoma
Chianti Classico,
Sonoma Mountain,Sonoma
Clare Valley,
Howell Mountain,Napa
Russian River Valley,Sonoma
Morgon,
Sonoma Coast,Sonoma
Cariñena,
Mendoza,
Vin de Pays du Val de Loire,
Vinho Espumante de Qualidade,
Wahluke Slope,Columbia Valley
Mendoza,
Columbia Valley (WA),Columbia Valley
Navarra,
Barossa,
Walla Walla Valley (WA),Columbia Valley
Tulum Valley,
Sonoma Valley,Sonoma
Juliénas,
California,California Other
Chinon,
Monterey County,Central Coast
Alentejano,
Mendoza,
Vinho Espumante de Qualidade,
Central Coast,Central Coast
Central Coast,Central Coast
Finger Lakes,Finger Lakes
Lake Erie,Finger Lakes
Valpolicella Classico Superiore Ripasso,
Valpolicella Classico Superiore Ripasso,
Bourgogne,
Valpolicella Classico Superiore Ripasso,
Pouilly-Fuissé,
Chablis,
Amarone della Valpolicella,
Lake County,Mendocino/Lake Counties
Nuits-St.-Georges,
Valpolicella Superiore,
Red Mountain,Columbia Valley
Mendocino County,Mendocino/Lake Counties
Columbia Valley (WA),Columbia Valley
Finger Lakes,Finger Lakes
Horse Heaven Hills,Columbia Valley
Cayuga Lake,Finger Lakes
Mendoza,
Dundee Hills,Willamette Valley
Russian River Valley,Sonoma
Paso Robles,Central Coast
Santa Cruz Mountains,Central Coast
Cahors,
Alexander Valley,Sonoma
Torgiano,
Sonoma Valley,Sonoma
Willamette Valley,Willamette Valley
Cahors,
Mosel,
Pfalz,
Cahors,
Carneros,Napa-Sonoma
Cahors,
Santa Barbara County,Central Coast
Mosel,
Santa Ynez Valley,Central Coast
Napa Valley,Napa
Sonoma Valley,Sonoma
Mendoza,
Sicilia,
Simonsberg-Stellenbosch,
Cigales,
North Fork of Long Island,Long Island
Rioja,
Columbia Valley (WA),Columbia Valley
Côtes du Rhône,
Wahluke Slope,Columbia Valley
Walla Walla Valley (WA),Columbia Valley
Anderson Valley,Mendocino/Lake Counties
Côtes de Provence,
Alto Adige,
Sta. Rita Hills,Central Coast
Arribes del Duero,
Niederösterreich,
Rioja,
Kremstal,
Côtes du Rhône Villages,
Kamptal,
Cariñena,
Napa Valley,Napa
Lake County,Mendocino/Lake Counties
Champagne,
Yakima Valley,Columbia Valley
Anderson Valley,Mendocino/Lake Counties
Champagne,
Champagne,
Washington,Washington Other
Champagne,
Columbia Valley (WA),Columbia Valley
Burgenland,
Champagne,
Napa Valley,Napa
Wagram-Donauland,
Champagne,
Columbia Valley (WA),Columbia Valley
South Australia,
Columbia Valley (WA),Columbia Valley
McLaren Vale,
Carneros,Napa-Sonoma
Russian River Valley,Sonoma
Kamptal,
Langhe,
Puglia,
Russian River Valley,Sonoma
Salice Salentino,
Isola dei Nuraghi,
Columbia Valley (WA),Columbia Valley
Condrieu,
Luján de Cuyo,
Niederösterreich,
Chablis,
Russian River Valley,Sonoma
Châteauneuf-du-Pape,
Columbia Valley (WA),Columbia Valley
Kremstal,
Meursault,
Sonoma County-Monterey County-Santa Barbara County,California Other
Lake County,Mendocino/Lake Counties
Red Mountain,Columbia Valley
Russian River Valley,Sonoma
Saint-Véran,
Pouilly-Fuissé,
Champagne,
Champagne,
Champagne,
Champagne,
Sonoma County,Sonoma
Coonawarra,
Dry Creek Valley,Sonoma
Champagne,
Anderson Valley-Sonoma County-Cole Ranch,North Coast
Marlborough,
Marlborough,
Victoria,
Paso Robles,Central Coast
Mosel-Saar-Ruwer,
Neusiedlersee-Hügelland,
Napa Valley,Napa
Monterey,Central Coast
Rheingau,
Alsace,
Santa Ynez Valley,Central Coast
Pfalz,
Kremstal,
Kremstal,
Yarra Valley,
Napa Valley,Napa
Napa Valley,Napa
Burgenland,
Margaret River,
Burgenland,
Australia,
Styria,
Napa Valley,Napa
Sonoma County,Sonoma
Napa,
Tuscany,
St. Helena,Napa
Port,
Portugal,
Douro,
Rheingau,
Chianti Classico,
Sonoma Valley,Sonoma
Livermore Valley,Central Coast
Rutherford,Napa
Sonoma County,Sonoma
Sonoma Coast,Sonoma
Alexander Valley,Sonoma
Yecla,
Napa Valley,Napa
Bolgheri,
Port,
Fleurie,
Montepulciano d'Abruzzo,
South Australia,
Wahluke Slope,Columbia Valley
Paso Robles,Central Coast
South Australia,
Beaujolais-Villages,
Western Cape,
St. Helena,Napa
Ribera del Duero,
Los Carneros,Napa-Sonoma
Tierra de Castilla,
Toscana,
Neuquén,
Columbia Valley (WA),Columbia Valley
Yakima Valley,Columbia Valley
Yakima Valley,Columbia Valley
Walla Walla Valley (WA),Columbia Valley
Santa Barbara County,Central Coast
Mendoza,
Douro,
Vino de la Tierra de Castilla y León,
California,California Other
Mendoza,
Drama,
Los Carneros,Napa-Sonoma
North Fork of Long Island,Long Island
Saint-Aubin,
Valpolicella Superiore,
Amarone della Valpolicella Classico,
Valpolicella Classico Superiore,
Finger Lakes,Finger Lakes
Pommard,
Monticello,
Cava,
Navarra,
Central Coast,Central Coast
Soave Classico,
Valpolicella Classico Superiore Ripasso,
Chablis,
Amarone della Valpolicella Classico,
Red Mountain,Columbia Valley
Columbia Valley (WA),Columbia Valley
Yakima Valley,Columbia Valley
Jumilla,
Rioja,
Sonoma Coast,Sonoma
Montagny,
Wahluke Slope,Columbia Valley
Cayuga Lake,Finger Lakes
Niederösterreich,
Yakima Valley,Columbia Valley
Central Coast,Central Coast
Coteaux d'Aix-en-Provence,
Columbia Valley (WA),Columbia Valley
Côtes de Provence,
Côtes de Provence,
Côtes de Provence,
Toro,
Penedès,
Wahluke Slope,Columbia Valley
Kamptal,
Alicante,
Kremstal,
Santa Lucia Highlands,Central Coast
Crozes-Hermitage,
Coteaux d'Aix-en-Provence,
Carmel Valley,Central Coast
Napa Valley,Napa
Montsant,
Kamptal,
Red Mountain,Columbia Valley
Alto Adige,
Traisental,
Traisental,
Wahluke Slope,Columbia Valley
Edna Valley,Central Coast
Columbia Valley (WA),Columbia Valley
Horse Heaven Hills,Columbia Valley
Champagne,
Green Valley,Sonoma
Champagne,
Kremstal,
Kremstal,
Kremstal,
Columbia Valley (WA),Columbia Valley
Sonoma Coast,Sonoma
Russian River Valley,Sonoma
Mendoza,
Sta. Rita Hills,Central Coast
Barbaresco,
Champagne,
Napa Valley,Napa
South Australia,
Napa Valley,Napa
Kremstal,
Wagram-Donauland,
Napa Valley,Napa
Dolcetto d'Alba,
Wachau,
Dolcetto d'Alba,
Kamptal,
Mosel,
Thermenregion,
Mendoza,
Willamette Valley,Willamette Valley
Sta. Rita Hills,Central Coast
Carneros,Napa-Sonoma
Cahors,
Sicilia,
Red Hills Lake County,Mendocino/Lake Counties
California,California Other
Russian River Valley,Sonoma
Mosel,
Kremstal,
Paso Robles,Central Coast
Santa Barbara County,Central Coast
Sonoma Coast,Sonoma
Napa Valley,Napa
Paarl,
Rheingau,
Cahors,
Contessa Entellina,
Mosel,
Cahors,
Dundee Hills,Willamette Valley
Cahors,
Lodi,Central Valley
Leverano,
Luján de Cuyo,
Austria,
Russian River Valley,Sonoma
Puglia,
Wachau,
Sierra Foothills,Sierra Foothills
Red Mountain,Columbia Valley
Red Mountain,Columbia Valley
Santa Cruz Mountains,Central Coast
Perdriel,
Red Mountain,Columbia Valley
Sonoma Mountain,Sonoma
Oakville,Napa
Neusiedlersee-Hügelland,
Carneros,Napa-Sonoma
Mosel-Saar-Ruwer,
Edna Valley,Central Coast
Walla Walla Valley (WA),Columbia Valley
Santa Lucia Highlands,Central Coast
Russian River Valley,Sonoma
Champagne,
Napa Valley,Napa
Knights Valley,Sonoma
Russian River Valley,Sonoma
Sonoma Valley,Sonoma
Sonoma Valley,Sonoma
Champagne,
South Eastern Australia,
Paso Robles,Central Coast
Champagne,
Champagne,
Barossa Valley,
Napa Valley,Napa
Dunnigan Hills,Central Valley
Alexander Valley,Sonoma
Margaret River,
Bourgogne,
Nelson,
Hawke's Bay,
Sta. Rita Hills,Central Coast
Monterey County,Central Coast
Russian River Valley,Sonoma
Champagne,
Central Otago,
Napa Valley,Napa
Napa Valley,Napa
California,California Other
Monterey,Central Coast
Redwood Valley,Mendocino/Lake Counties
Rheinhessen,
Barossa Valley,
Rheingau,
Napa Valley,Napa
Napa Valley,Napa
Napa Valley,Napa
Barossa Valley,
Napa Valley,Napa
Wachau,
Santa Lucia Highlands,Central Coast
Alsace,
Burgenland,
Clare Valley,
South Australia,
San Pasqual,South Coast
Mosel-Saar-Ruwer,
Donauland,
Napa Valley,Napa
Carneros,Napa-Sonoma
Weinviertel,
Rheingau,
Mosel-Saar-Ruwer,
Clare Valley,
Mendoza,
Santa Cruz Mountains,Central Coast
Jumilla,
Vinho Verde,
Ribatejo,
Walla Walla Valley (WA),Columbia Valley
Sancerre,
Chelan County,Washington Other
Columbia Valley (WA),Columbia Valley
Mendoza,
Douro,
Vinho Espumante de Qualidade,
Vinho Verde,
Russian River Valley,Sonoma
Mendoza,
Rioja,
Russian River Valley,Sonoma
Rioja,
Napa Valley,Napa
Chianti Classico,
Livermore Valley,Central Coast
Rheingau,
Napa Valley,Napa
Carmel Valley,Central Coast
Port,
Alexander Valley,Sonoma
Port,
Napa Valley,Napa
Russian River Valley,Sonoma
Napa Valley,Napa
Douro,
Port,
Paso Robles,Central Coast
Clare Valley,
Douro,
Napa Valley,Napa
Port,
Tuscany,
Port,
Napa Valley,Napa
Niederösterreich,
Coteaux d'Aix-en-Provence,
Ribera del Duero,
Kremstal,
Burgenland,
Bot River,
Dry Creek Valley,Sonoma
Columbia Valley (WA),Columbia Valley
Livermore Valley,Central Coast
Alto Adige,
Stellenbosch,
Südsteiermark,
Côtes de Provence,
Livermore Valley,Central Coast
Columbia Valley (WA),Columbia Valley
Toro,
Clarendon,
Columbia Valley (WA),Columbia Valley
Nebbiolo d'Alba,
Dry Creek Valley,Sonoma
Wachau,
Adelaide Hills,
Champagne,
Tasmania,
Langhe,
Sonoma Valley,Sonoma
Champagne,
Kremstal,
Santa Ynez Valley,Central Coast
Columbia Valley (WA),Columbia Valley
Columbia Valley (WA),Columbia Valley
Barossa Valley,
Shenandoah Valley (CA),Sierra Foothills
Barossa Valley,
Champagne,
Champagne,
Washington,Washington Other
Walla Walla Valley (WA),Columbia Valley
Dolcetto d'Alba,
Columbia Valley (WA),Columbia Valley
Santa Maria Valley,Central Coast
Wachau,
Barbera d'Alba,
Mendoza,
Santa Barbara County,Central Coast
Rheingau,
Mendoza,
Trebbiano d'Abruzzo,
Kremstal,
Kremstal,
Sicilia,
Willamette Valley,Willamette Valley
Mosel,
Mosel,
Robertson,
California,California Other
Russian River Valley,Sonoma
Lazio,
Willamette Valley,Willamette Valley
Umbria,
Sicilia,
Mittelburgenland,
Willamette Valley,Willamette Valley
Mendoza,
Corbières-Boutenac,
Sonoma Coast,Sonoma
Santa Maria Valley,Central Coast
Carneros,Napa-Sonoma
Rueda,
Aglianico del Vulture,
Sardinia,
McLaren Vale,
Kremstal,
Santa Cruz Mountains,Central Coast
Columbia Valley (WA),Columbia Valley
Alexander Valley,Sonoma
Cava,
Vista Flores,
McLaren Vale,
Primitivo di Manduria,
Niederösterreich,
Columbia Valley (WA),Columbia Valley
Sardinia,
Saint-Véran,
Mosel-Saar-Ruwer,
Eden Valley,
Washington,Washington Other
Vista Flores,
Côtes du Rhône Villages,
Champagne,
Amador County,Sierra Foothills
Alexander Valley,Sonoma
Mendoza,
Paso Robles,Central Coast
Arroyo Seco,Central Coast
Sonoma County,Sonoma
Champagne,
Champagne,
Champagne,
Champagne,
Hawke's Bay,
Marlborough,
California,California Other
Paso Robles,Central Coast
Dry Creek Valley,Sonoma
California,California Other
California,California Other
California,California Other
Mosel-Saar-Ruwer,
Rheinhessen,
Monterey,Central Coast
Barossa Valley,
Mosel-Saar-Ruwer,
Nahe,
Burgenland,
Sonoma Valley,Sonoma
Sonoma County,Sonoma
Lodi,Central Valley
Neusiedlersee-Hügelland,
Weinviertel,
Mosel-Saar-Ruwer,
South Eastern Australia,
Columbia Valley (WA),Columbia Valley
Ribera del Duero,
North Fork of Long Island,Long Island
Sonoma County,Sonoma
Great Southern,
Vienna,
Walla Walla Valley (WA),Columbia Valley
Côtes de Provence,
Coteaux Varois,
Côtes du Rhône,
Santa Lucia Highlands,Central Coast
Sta. Rita Hills,Central Coast
Wahluke Slope,Columbia Valley
Yakima Valley,Columbia Valley
Cariñena,
Yecla,
Alto Adige,
Kamptal,
Sierra Foothills,Sierra Foothills
Santa Ynez Valley,Central Coast
Côtes de Provence,
Knights Valley,Sonoma
Napa Valley,Napa
Kremstal,
Columbia Valley (WA),Columbia Valley
Champagne,
Wachau,
Kamptal,
Champagne,
Champagne,
Champagne,
