province,region_1
Burgundy,Fixin
California,San Antonio Valley
Veneto,Colli Euganei
Veneto,Monti Lessini
Vinho da Mesa,Vinho da Mesa
Burgundy,Côte de Beaune
Tuscany,Bolgheri Sassicaia
Loire Valley,Montlouis-sur-Loire
Wairau Valley,Wairau Valley
Terras do Sado,Terras do Sado
Spanish Islands,Vi de la Terra Illes Balears
Israel,Israel
Bordeaux,Premieres Côtes de Bordeaux
Northern Spain,Empordà
France Other,Vin de Liqueur
Burgundy,Mâcon-Pierreclos
Sicily & Sardinia,Menfi
Languedoc-Roussillon,Vin de Pays du Val de Cesse
Sicily & Sardinia,Monreale
Tuscany,San Gimignano
Sicily & Sardinia,Vittoria Frappato
New York,"The Hamptons, Long Island"
Ontario,Niagara-On-The-Lake
France Other,Vin de Pays de France
Michigan,Michigan
France Other,Vin de Pays Vignobles de France
Burgundy,Mâcon-Villages
Michigan,Old Mission Peninsula
Texas,Texas
Catalonia,Costers del Segre
California,Mokelumne River
Southwest France,Gaillac Doux
Provence,Les Baux de Provence
Lombardy,Franciacorta
Veneto,Valdobbiadene Prosecco Superiore
Loire Valley,Muscadet Sèvre et Maine Clisson
Burgundy,Mâcon
Andalucia,Málaga
Northeastern Italy,Trento
Burgundy,Viré-Clessé
California,San Luis Obispo-Sonoma-Monterey
Northwestern Italy,Valle d'Aosta
Loire Valley,Muscadet Côtes de Grandlieu
Piedmont,Erbaluce di Caluso
Hemel en Aarde,Hemel en Aarde
California,Sonoma
Southern Italy,Beneventano
Burgundy,Mâcon-Uchizy
Southern Italy,Catalanesca del Monte Somma
Burgundy,Bourgogne Epineuil
Piedmont,Ghemme
England,England
Piedmont,Dolcetto di Diano d'Alba
Northeastern Italy,Friuli Venezia Giulia
Burgundy,Corton Les Lolières
California,Capay Valley
Tuscany,Chianti Montespertoli
Tuscany,Chianti Colli Senesi
Central Italy,Romagna
California,Sonoma County-Napa County
Burgundy,Corton-Charlemagne
Burgundy,Bâtard-Montrachet
Piedmont,Gattinara
Rhône Valley,Côte Rôtie
Central Italy,Emilia
Valle de Guadalupe,Valle de Guadalupe
Tokaj,Tokaj
Wiener Gemischter Satz,Wiener Gemischter Satz
Burgundy,Pouilly-Loché
Burgundy,Mâcon-Fuissé
Veneto,Prosecco Treviso
Veneto,Montello e Colli Asolani
Burgundy,Ladoix
Imathia,Imathia
Burgundy,Clos de Vougeot
Languedoc-Roussillon,Côtes du Roussillon Villages Tautavel
Malleco,Malleco
Northeastern Italy,Mitterberg
Burgundy,Mâcon La Roche Vineuse
Tuscany,Val di Cornia Suvereto
Kakheti,Kakheti
Languedoc-Roussillon,Vin de Pays des Côtes Catalanes
Tuscany,Alta Valle della Greve
Brda,Brda
South Australia,Clare Valley-Eden Valley
Piedmont,Dogliani Superiore
Tuscany,Costa Toscana
Vin de Pays de Velvendo,Vin de Pays de Velvendo
Waiheke Island,Waiheke Island
Southern Italy,Ischia
Piedmont,Brachetto d'Acqui
Central Italy,Lambrusco di Modena
Tuscany,Monteregio di Massa Marittima
Burgundy,Mâcon Solutré
Washington,Puget Sound
Piedmont,Ruché di Castagnole Monferrato
Loire Valley,Saint-Nicolas-de-Bourgueil
Southern Italy,Pompeiano
Central Italy,Emilia-Romagna
Burgundy,Mâcon-Azé
Burgundy,Pouilly-Vinzelles
California,San Lucas
Bordeaux,Crémant de Bordeaux
Burgundy,Mâcon-Vergisson
Veneto,Venezia
New Jersey,Outer Coastal Plain
Italy Other,Italy
Southern Italy,Galluccio
France Other,Vin de Pays des Portes de Méditerranée
Central Italy,Colli Pesaresi
Central Italy,Cesanese del Piglio
Amyndeon,Amyndeon
Burgundy,Mâcon-Davayé
Burgundy,Mâcon-Loché
Transmontanas,Transmontanas
Northern Spain,Vino de la Tierra Ribera del Gállego-Cinco Villas
Vinho Espumante,Vinho Espumante
Croatia,Croatia
Lemnos,Lemnos
Languedoc-Roussillon,Muscat de Saint-Jean de Minervois
Beaujolais,Coteaux du Lyonnais
California,Sonoma-Napa-Mendocino
Krk,Krk
Lombardy,Curtefranca
France Other,Ile de Beauté
Terras da Beira,Terras da Beira
Tuscany,Colline Lucchesi
Central Italy,Montefalco Sagrantino
Languedoc-Roussillon,Côtes de Thongue
Valle de Guadalupe and Santo Tomás,Valle de Guadalupe and Santo Tomás
Levante,Alicante-Marina Alta
Northwestern Italy,Colli di Luni
Bordeaux,Premieres Côtes de Blaye
Central Italy,Offida Pecorino
South Australia,Padthaway
Languedoc-Roussillon,Minervois La Liviniere
Provence,Coteaux de Verdon
Western Australia,Pemberton
Georgia,Georgia
Veneto,Piave
Rapel Valley-Casablanca Valley,Rapel Valley-Casablanca Valley
Central Italy,Colli Bolognesi
Languedoc-Roussillon,Aude Hauterive
Burgundy,Mâcon-Charnay
Loire Valley,Rosé d'Anjou
Victoria,Pyrenees
Tuscany,Orcia
South Australia,McLaren Vale-Padthaway
Middle and South Dalmatia,Middle and South Dalmatia
Veneto,Valpolicella Valpantena
Steiermark,Steiermark
Canelones,Canelones
California,Napa-Sonoma-Lake
Goumenissa,Goumenissa
Tuscany,Montecarlo
California,Cucamonga Valley
Estremadura,Estremadura
Obidos,Obidos
Northeastern Italy,Rosazzo
California,Napa-Sonoma-Monterey
Ontario,Prince Edward County
Northern Spain,Vino de la Tierra del Bajo Aragón
Central Italy,Forlì
Vinho Licoroso,Vinho Licoroso
Mátra,Mátra
California,Malibu Coast
Burgundy,Mâcon-Péronne
Waipara Valley,Waipara Valley
Lombardy,Terre di Franciacorta
Languedoc-Roussillon,La Clape
Bordeaux,Sainte-Foy Bordeaux
California,El Pomar District
Achaia,Achaia
Cyclades,Cyclades
California,Lake County-Sonoma County
California,Ramona Valley
Bordeaux,Côtes de Castillon
Western Australia,Mount Barker
Mendoza Province,Medrano
Trás-os-Montes,Trás-os-Montes
California,Lime Kiln Valley
Piedmont,Barbera del Monferrato Superiore
Darling,Darling
California,Sonoma County-San Joaquin County
Vale dos Vinhedos,Vale dos Vinhedos
Languedoc-Roussillon,Faugères
California,Santa Cruz County
Southern Italy,Biferno Rosso
Languedoc-Roussillon,Blanquette de Limoux
Tradouw,Tradouw
Languedoc-Roussillon,Gard
Andalucia,Vino de la Tierra Contraviesa Alpujarra
Brazil,Brazil
California,Amador-Napa
Bordeaux,Puisseguin Saint-Émilion
Veneto,Veneto Orientale
Veneto,Colli Asolani Prosecco
California,Sonoma County-Monterey County-Napa County
Burgundy,Vougeot
Victoria,Heathcote
Southern Italy,Rosso di Cerignola
Northwestern Italy,Riviera Ligure di Ponente
Piedmont,Barbera del Monferrato
South Australia,Currency Creek
Burgundy,Charmes-Chambertin
Tuscany,Vin Santo di Montepulciano
Central Spain,Ribera del Júcar
California,Madera
Veneto,Breganze
Tuscany,Chianti Colli Aretini
Santa Cruz,Santa Cruz
Philadelphia,Philadelphia
Victoria,Central Victoria
Burgundy,Maranges
Torres Vedras,Torres Vedras
Veneto,Colli di Conegliano
Southern Italy,Moscato di Trani
Missouri,Augusta
Northern Spain,Vino de Calidad de Tierras de León
Piedmont,Dolcetto d'Asti
Molina,Molina
Itata Valley,Itata Valley
Casablanca-Curicó Valley,Casablanca-Curicó Valley
Southern Italy,Nardò
Northern Spain,Bizkaiko Txakolina
Central Spain,Extremadura
South Australia,Barossa-Adelaide Hills
Southern Italy,Vesuvio
New South Wales,Mudgee
Catalonia,Tarragona
Languedoc-Roussillon,Fitou
Southern Italy,Gravina
Southern Italy,Savuto
Loire Valley,Coteaux du Vendômois
Cederberg,Cederberg
Burgundy,Bourgogne Grand Ordinaire
Kutjevo,Kutjevo
Northern Spain,Arlanza
California,Monterey-Santa Barbara-Sonoma
Michigan,Leelanau Peninsula
Madeira,Madeira
Loire Valley,Coteaux d'Ancenis
Central Italy,Colli di Rimini
Pennsylvania,Pennsylvania
Iowa,Iowa
Bordeaux,Côtes de Bordeaux
Central Italy,San Marino
Patras,Patras
Loire Valley,Coteaux du Layon La Faye
Mendoza Province,San Carlos
Victoria,Gippsland
Messinia,Messinia
Spain Other,Vino de Mesa
Ribatejano,Ribatejano
Central Italy,Conero Riserva
Negev Hills,Negev Hills
Central Italy,Rosso Piceno Superiore
Thessalikos,Thessalikos
Southern Italy,Cilento
Cyprus,Cyprus
Loire Valley,Coteaux du Layon Saint Aubin
California,Mendocino-Solano
Eilandia,Eilandia
Dalmatian Coast,Dalmatian Coast
Groenekloof,Groenekloof
Piedmont,Verduno
Loire Valley,Bonnezeaux
Central Italy,Offida Rosso
Northeastern Italy,Colli Trevigiani
Southern Italy,Paestum
Northern Spain,Vino de la Tierra de Zamora
South Australia,Barossa Valley-Clare Valley
Pitsilia Mountains,Pitsilia Mountains
Germany,Germany
Loire Valley,Saumur-Champigny
California,Hames Valley
Victoria,Murray-Darling
Tuscany,Sangiovese di Toscana
Central Italy,Olevano Romano
California,Trinity County
California,North Yuba
Wairarapa,Wairarapa
Veneto,Prosecco Superiore di Cartizze
Central Italy,Colli di Faenza
Danube Hills Valley,Danube Hills Valley
Catalonia,Catalonia
Virginia,Albemarle County
Rhein-Mosel,Rhein-Mosel
Sliven,Sliven
South Australia,Southern Flinders Ranges
Northern Spain,Vino Tierra de León
Tarnave,Tarnave
France Other,Crémant de Jura
East Coast,East Coast
California,Malibu-Newton Canyon
Victoria,Goulburn Valley
Rhône Valley,Rhône Valley
Veneto,Marca Trevigiana
Rhône Valley,Saint-Péray
Rhône Valley,Beaumes-de-Venise
Peza,Peza
Northern Spain,Ribera del Queiles
South Australia,Riverland
Loire Valley,Quarts de Chaume
Loire Valley,Chaume
Plaiurile Drancei,Plaiurile Drancei
California,California-Washington
Loire Valley,Touraine Mesland
Eger,Eger
Transylvanian Plateau,Transylvanian Plateau
Felso-Magyarország,Felso-Magyarország
North Island,North Island
Central Italy,Colline Teatine
Neszmély,Neszmély
Burgundy,Echézeaux
Moselle Luxembourgeoise,Moselle Luxembourgeoise
Marlborough & Hawkes Bay,Marlborough & Hawkes Bay
Eastern Bays,Eastern Bays
Ohiti Valley,Ohiti Valley
Moutere,Moutere
Loire Valley,Pouilly-sur-Loire
Northern Spain,Vino de la Tierra Ribera del Jiloca
Northeastern Italy,Friuli Aquileia
Loire Valley,Vin de Pays du Jardin de la France
Northeastern Italy,Garda
Central Italy,Montefalco
California,McDowell Valley
Loire Valley,Anjou Villages
Ohio,Ohio
Tuscany,Chianti Colli Pisani
New Zealand,New Zealand
Northeastern Italy,Garda Classico
Ontario,Lake Erie North Shore
Languedoc-Roussillon,Vin de Pays des Coteaux de Bessilles
California,Solano County
Rhône Valley,Côtes du Luberon
Burgundy,Burgundy
Piedmont,Casorzo
California,Jahant
San Jose,San Jose
El Colorado,El Colorado
Colonia,Colonia
Atlantida,Atlantida
Victoria,Grampians
Ontario,Short Hills Bench
Vânju Mare,Vânju Mare
Golan Heights,Golan Heights
Murfatlar,Murfatlar
Dealurile Hușilor,Dealurile Hușilor
Transmontano,Transmontano
Black Sea Coastal,Black Sea Coastal
Curicó and Maipo Valleys,Curicó and Maipo Valleys
Virginia,Virginia's Eastern Shore
Burgundy,Clos de la Roche
Cauquenes Valley,Cauquenes Valley
Letrinon,Letrinon
Languedoc-Roussillon,Vallée du Paradis
Santa Catarina,Santa Catarina
Southern Italy,Gioia del Colle
Central Spain,Finca Élez
Danube River Plains,Danube River Plains
Serra do Sudeste,Serra do Sudeste
France Other,Savoie
Burgundy,Chambertin Clos de Bèze
Southern Italy,Taburno
Piedmont,Dolcetto d'Acqui
Tulbagh,Tulbagh
California,Saddle Rock-Malibu
Loire Valley,Pays de Loire
Podunavlje,Podunavlje
Bordeaux,Canon-Fronsac
Arcadia,Arcadia
France Other,Corse Porto Vecchio
Central Italy,Colli Martani
Southern Italy,Donnici
France Other,Apremont
France Other,Vin de Pays de l'Ile de Beauté
Southern Italy,Penisola Sorrentina
Lesbos,Lesbos
Southern Italy,Martina
Other,Aminga Valley
Burgundy,Mazis-Chambertin
California,Napa County-Sonoma County-Lake County
Burgundy,Hautes Côtes de Nuits
Evia,Evia
Rhône Valley,Côtes-du-Ventoux
California,Santa Barbara-Monterey
Languedoc-Roussillon,Vin de Pays de Hauterive
Burgundy,Petit Chablis
Languedoc-Roussillon,Muscat de Rivesaltes
Lombardy,Lombardy
Monemvasia,Monemvasia
Loire Valley,Cheverny
Washington-Oregon,Washington-Oregon
Northern Cape,Northern Cape
California,Napa-Sonoma-Marin
Ismarikos,Ismarikos
Rhône Valley,Vin Doux Naturel Rasteau
California,Lake County-Mendocino County
France Other,Vin de Pays des Coteaux de L'Ardeche
Loire Valley,Muscadet Coteaux de la Loire
Central Spain,Toledo
Languedoc-Roussillon,Vin de Pays de Montferrand
Northeastern Italy,Del Veneto
Ontario,Niagara Escarpment
Mostar,Mostar
Rhône Valley,Vin de Pays de Vaucluse
Vermont,Vermont
Connecticut,Western Connecticut Highlands
San Antonio de las Minas Valley,San Antonio de las Minas Valley
Central Italy,Colline Teramane
California,Napa Valley-Paso Robles
Languedoc-Roussillon,Côtes du Roussillon Villages Caramany
Central Italy,Lago di Corbara
South Australia,Mount Benson
Central Spain,Madrid
Languedoc-Roussillon,Coteaux du Languedoc-Pézenas
Southern Italy,Galatina
Central Italy,Colli Perugini
California,Sonoma-Santa Barbara-Mendocino
San Vicente,San Vicente
Languedoc-Roussillon,Vin de Pays des Côtes de Thau
Central Italy,Todi
Central Italy,Torgiano Rosso Riserva
California,Mendocino-Lake County-Napa
Rio Claro,Rio Claro
Lombardy,Provincia di Pavia
New South Wales,Hilltops
New South Wales,Western Plains
Maipo Valley-Colchagua Valley,Maipo Valley-Colchagua Valley
Languedoc-Roussillon,Vin de Pays de la Vallée de l’Aude
Colchagua Costa,Colchagua Costa
Szekszárd,Szekszárd
Languedoc-Roussillon,Vin de Pays de Caux
Ohio,Ohio River Valley
California,Mount Harlan
Piedmont,Cortese di Gavi
South Australia,Henty
Levante,Bullas
Rhône Valley,Clairette de Die
Kentucky,Kentucky
Viile Carasului,Viile Carasului
Languedoc-Roussillon,Vin de Pays des Coteaux de Murviel
Southwest France,Vin de Pays des Pyrénees Orientales
Canada Other,Quebec
Canada Other,Canada
Massachusetts,Massachusetts
Zitsa,Zitsa
Burgundy,St.-Véran
South Australia,Southern Fleurieu
Washington,Columbia Valley-Walla Walla Valley
Lakonia,Lakonia
California,Napa-Amador
Central Italy,Civitella d'Agliano
Beotia,Beotia
Table wine,Table wine
Pisatis,Pisatis
Victoria,Geelong
Lombardy,Sebino
Tuscany,Chardonnay di Toscana
Rhône Valley,Crémant de Die
Amindeo,Amindeo
Central Italy,Est! Est!! Est!!! di Montefiascone
Gerania,Gerania
Loire Valley,Blanc Fumé de Pouilly
Southern Italy,Copertino
California,San Diego County
Languedoc-Roussillon,Collioure
Vin de Pays d'Imathia,Vin de Pays d'Imathia
Cahul,Cahul
Languedoc-Roussillon,Vin de Pays de L'Aude
Codru Region,Codru Region
Burgundy,Montrachet
Victoria,Yarra Valley-Heathcote
Burgundy,Côte de Beaune-Villages
Loire Valley,Haut-Poitou
Tuscany,Candia Dei Colli Apuani
Sicily & Sardinia,Moscato di Pantelleria
South Australia,Barossa-Langhorne Creek
Northern Spain,Emporadà-Costa Brava
Southern Italy,Biferno Bianco
Southern Italy,Cirò Classico
Ioannina,Ioannina
Viile Timis,Viile Timis
Egypt,Egypt
Limnos,Limnos
California,California-Oregon
Other,Catamarca
Vino da Tavola della Svizzera Italiana,Vino da Tavola della Svizzera Italiana
Nevada,Nevada
Rose Valley,Rose Valley
Other,Zonda Valley
Ticino,Ticino
Ohio,Isle St. George
Central Italy,Falerio
Piedmont,Fara
Ella Valley,Ella Valley
Champagne,Coteaux Champenois
China,China
Michigan,Lake Michigan Shore
Douro Superior,Douro Superior
Tunisia,Tunisia
Southern Italy,Rosso del Salento
Veneto,Gambellara Classico
Southern Italy,Falanghina del Beneventano
Southwest France,Vin de Pays de Côtes du Tarn
South Australia,McLaren Vale-Langhorne Creek
Languedoc-Roussillon,Vin de Pays des Sables du Golfe du Lion
Southern Italy,Apulia
France Other,Moselle VDQS
Martinborough Terrace,Martinborough Terrace
California,Stanislaus County
Beni M'Tir,Beni M'Tir
Central Spain,Tierra Manchuela
Oregon,Polk County
Omaka Valley,Omaka Valley
South Australia,Langhorne Creek-Limestone Coast
Rhône Valley,Coteaux du Tricastin
Stirling,Stirling
South Styria,South Styria
